xmlsoft:libxml;https://github.com/GNOME/libxml2.git;http://xmlsoft.org/;git;tag;software_type
tiki:tikiwiki;https://github.com/tikiorg/tiki.git;https://tiki.org;git;tag;software_type
autotrace_project:autotrace;https://github.com/autotrace/autotrace.git;http://autotrace.sourceforge.net/;git;tag;software_type
tcpdump:tcpdump;https://github.com/the-tcpdump-group/tcpdump.git;http://www.tcpdump.org/;git;tag;software_type
otrs:otrs;https://github.com/OTRS/otrs.git;https://www.otrs.com/;git;tag;software_type
apple:cups;https://github.com/apple/cups.git;https://www.cups.org/;git;tag;software_type
gnu:binutils;https://github.com/gittup/binutils.git;http://savannah.gnu.org/;git;-;system_software
vtiger:vtiger_crm;https://github.com/vtiger-crm/vtigercrm.git;https://www.vtiger.com/;git;-;software_type
gnu:gnutls;https://gitlab.com/gnutls/gnutls.git;http://www.gnutls.org/;git;tag;system_software
s9y:serendipity;https://github.com/s9y/Serendipity.git;https://docs.s9y.org/index.html;git;tag;software_type
mantis:mantis;https://github.com/mantisbt/mantisbt.git;http://www.mantisbt.org;git;tag;software_type
exponentcms:exponent_cms;https://github.com/exponentcms/exponent-cms.git;http://exponentcms.org/;git;tag;software_type
clamav:clamav;https://github.com/vrtadmin/clamav-devel.git;https://www.clamav.net/;git;tag;software_type
cacti:cacti;https://github.com/Cacti/cacti.git;http://www.cacti.net;git;tag;software_type
punbb:punbb;https://github.com/punbb/punbb.git;http://punbb.informer.com/;git;-;software_type
cmsmadesimple:cms_made_simple;http://svn.cmsmadesimple.org/svn/cmsmadesimple;https://www.cmsmadesimple.org/;svn;tag;software_type
mahara:mahara;https://github.com/MaharaProject/mahara.git;https://mahara.org/;git;tag;software_type
xine:xine-lib;https://anonscm.debian.org/hg/xine-lib/gxine;https://www.xine-project.org/home;hg;tag;software_type
squid:squid;https://github.com/squid-cache/squid.git;http://www.squid-cache.org/;git;tag;software_type
libarchive:libarchive;https://github.com/libarchive/libarchive.git;http://www.libarchive.org/;git;tag;system_software
xoops:xoops;https://git.code.sf.net/p/xoops/git;https://xoops.org/;git;-;software_type
openldap:openldap;https://github.com/openldap/openldap.git;http://www.openldap.org/;git;tag;system_software
web-app.org:webapp;https://github.com/webapp/webapp.git;http://webapp.org/;git;-;software_type
theforeman:foreman;https://github.com/theforeman/foreman.git;http://theforeman.org/;git;tag;software_type
coppermine:coppermine_photo_gallery;https://github.com/coppermine-gallery/cpg1.6.x.git;http://coppermine-gallery.net/;git;tag;software_type
bestpractical:rt;https://github.com/bestpractical/rt.git;https://bestpractical.com/rt;git;tag;software_type
apache:subversion;https://github.com/apache/subversion.git;https://subversion.apache.org/;git;tag;software_type
webmin:webmin;https://github.com/webmin/webmin.git;http://www.webmin.com/;git;tag;software_type
silverstripe:silverstripe;https://github.com/silverstripe/silverstripe-framework.git;http://silverstripe.org/;git;tag;software_type
libpng:libpng;https://github.com/glennrp/libpng.git;http://www.libpng.org/;git;tag;system_software
mozilla:network_security_services;https://github.com/nss-dev/nss.git;https://developer.mozilla.org/en-US/docs/Mozilla/Projects/NSS;git;tag;software_type
kde:konqueror;git://anongit.kde.org/kde-baseapps;https://konqueror.org/;git;tag;software_type
