opensuse_project:opensuse;suse:opensuse;novell:opensuse;opensuse:opensuse;suse:open_suse;novell:suse_linux;opensuse_project:opensuse
sun:opensolaris;oracle:opensolaris
apache:openoffice;openoffice:openoffice;openoffice:openoffice.org;sun:openoffice.org;apache:openoffice.org;sun:openoffice.org_installer
libcurl:libcurl;curl:curl;curl:libcurl;haxx:curl;haxx:libcurl
horde:groupware;horde:imp;horde:application_framework;horde:horde_application_framework;horde:horde_groupware;imp:imp
mirabilis:icq;aol:icq;icq:mirabilis_icq;icq:icq;mirabilis:icq_98a
clamav:clamav;clam_anti-virus:clamav;clamavs:clamav;clamavclamav:0.11;cclamav:clamav;clamavclamav:0.80_rc4;
pidgin:pidgin;rob_flynn:gaim;
oracle:glassfish_server;oracle:sun_glassfish_enterprise_server;oracle:glassfish_web_space_server10.0;oracle:glassfish;sun:glassfish_enterprise_server
digium:asterisk;asterisk:asterisk;digium:asterisknow_pre-release;asterisk:s800i;asterisk:open_source;asterisk:digiumphones;asterisk:certified_asterisk;digium:certified_asterisk;digium:asteriske;digium:asterisk_digiumphones
google:android;android:android_browser;android:opencore;google:android_debug_bridge;google:android_api;google:android_browser
linux:linux_kernel;linux_kernel;linux:linux_kernel-rt;linux:kernel
chromium:chromium;google:chrome
graphicsmagick:graphicsmagick;imagemagick:graphicsmagick;imagemagick:imagemagick;imagemagick:libmagick_library
w3m:w3m;w3m_project:w3mz
xorg:x11;x:x.org_x11;x:libxi;x:libx11;x.org:x11r7;x.org:x.org_x11
